Time,Calories,HR,Temperature,Steps
2015-05-20T18:54:00Z,1.8,96.0,80.6,0.0
2015-05-20T18:55:00Z,1.7,92.0,79.7,0.0
2015-05-20T18:56:00Z,1.6,89.0,79.7,0.0
2015-05-20T18:57:00Z,2.1,91.0,79.7,20.0
2015-05-20T18:59:00Z,3.0,109.0,79.7,34.0
2015-05-20T19:00:00Z,1.6,109.0,79.7,0.0
2015-05-20T19:01:00Z,4.2,109.0,79.7,60.0
2015-05-20T19:02:00Z,2.1,83.0,78.8,0.0
2015-05-20T19:03:00Z,1.3,76.0,79.7,0.0
2015-05-20T19:04:00Z,1.3,71.0,79.7,0.0
2015-05-20T19:05:00Z,1.3,54.0,79.7,0.0
2015-05-20T19:06:00Z,1.3,56.0,80.6,0.0
2015-05-20T19:07:00Z,1.3,61.0,80.6,0.0
2015-05-20T19:08:00Z,1.3,62.0,80.6,0.0
2015-05-20T19:09:00Z,1.1,62.0,80.6,0.0
2015-05-20T19:10:00Z,0.9,82.0,81.5,0.0
2015-05-20T19:11:00Z,1.0,73.0,81.5,0.0
2015-05-20T19:12:00Z,1.2,70.0,81.5,0.0
2015-05-20T19:13:00Z,1.1,63.0,81.5,0.0
2015-05-20T19:14:00Z,1.2,64.0,81.5,0.0
2015-05-20T19:15:00Z,2.4,64.0,82.4,18.0
2015-05-20T19:19:00Z,1.7,89.0,81.5,0.0
2015-05-20T19:20:00Z,1.4,88.0,82.4,0.0
2015-05-20T19:21:00Z,1.5,88.0,82.4,0.0
2015-05-20T19:23:00Z,1.3,64.0,82.4,0.0
2015-05-20T19:24:00Z,1.9,64.0,82.4,10.0
2015-05-20T19:25:00Z,1.5,75.0,82.4,0.0
